PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,Third,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,cheap,,S
2,1,First,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,cheap,C85,C
3,1,Third,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,cheap,,S
4,1,First,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,cheap,C123,S
5,0,Third,"Allen, Mr. William Henry",male,35.0,0,0,373450,cheap,,S
6,0,Third,"Moran, Mr. James",male,,0,0,330877,cheap,,Q
7,0,First,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,cheap,E46,S
8,0,Third,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,cheap,,S
9,1,Third,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,cheap,,S
10,1,Second,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,cheap,,C
11,1,Third,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,cheap,G6,S
12,1,First,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,cheap,C103,S
13,0,Third,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,cheap,,S
14,0,Third,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,cheap,,S
15,0,Third,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,cheap,,S
16,1,Second,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,cheap,,S
17,0,Third,"Rice, Master. Eugene",male,2.0,4,1,382652,cheap,,Q
18,1,Second,"Williams, Mr. Charles Eugene",male,,0,0,244373,cheap,,S
19,0,Third,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,cheap,,S
20,1,Third,"Masselmani, Mrs. Fatima",female,,0,0,2649,cheap,,C
21,0,Second,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,cheap,,S
22,1,Second,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,cheap,D56,S
23,1,Third,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,cheap,,Q
24,1,First,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,cheap,A6,S
25,0,Third,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,cheap,,S
26,1,Third,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,cheap,,S
27,0,Third,"Emir, Mr. Farred Chehab",male,,0,0,2631,cheap,,C
28,0,First,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,expensive,C23 C25 C27,S
29,1,Third,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,cheap,,Q
30,0,Third,"Todoroff, Mr. Lalio",male,,0,0,349216,cheap,,S
31,0,First,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,cheap,,C
32,1,First,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,expensive,B78,C
33,1,Third,"Glynn, Miss. Mary Agatha",female,,0,0,335677,cheap,,Q
34,0,Second,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,cheap,,S
35,0,First,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,cheap,,C
36,0,First,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,cheap,,S
37,1,Third,"Mamee, Mr. Hanna",male,,0,0,2677,cheap,,C
38,0,Third,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,cheap,,S
39,0,Third,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,cheap,,S
40,1,Third,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,cheap,,C
41,0,Third,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,cheap,,S
42,0,Second,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,cheap,,S
43,0,Third,"Kraeff, Mr. Theodor",male,,0,0,349253,cheap,,C
44,1,Second,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,cheap,,C
45,1,Third,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,cheap,,Q
46,0,Third,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,cheap,,S
47,0,Third,"Lennon, Mr. Denis",male,,1,0,370371,cheap,,Q
48,1,Third,"O'Driscoll, Miss. Bridget",female,,0,0,14311,cheap,,Q
49,0,Third,"Samaan, Mr. Youssef",male,,2,0,2662,cheap,,C
50,0,Third,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,cheap,,S
51,0,Third,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,cheap,,S
52,0,Third,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,cheap,,S
53,1,First,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,cheap,D33,C
54,1,Second,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,cheap,,S
55,0,First,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,cheap,B30,C
56,1,First,"Woolner, Mr. Hugh",male,,0,0,19947,cheap,C52,S
57,1,Second,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,cheap,,S
58,0,Third,"Novel, Mr. Mansouer",male,28.5,0,0,2697,cheap,,C
59,1,Second,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,cheap,,S
60,0,Third,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,cheap,,S
61,0,Third,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,cheap,,C
62,1,First,"Icard, Miss. Amelie",female,38.0,0,0,113572,cheap,B28,
63,0,First,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,cheap,C83,S
64,0,Third,"Skoog, Master. Harald",male,4.0,3,2,347088,cheap,,S
65,0,First,"Stewart, Mr. Albert A",male,,0,0,PC 17605,cheap,,C
66,1,Third,"Moubarek, Master. Gerios",male,,1,1,2661,cheap,,C
67,1,Second,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,cheap,F33,S
68,0,Third,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,cheap,,S
69,1,Third,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,cheap,,S
70,0,Third,"Kink, Mr. Vincenz",male,26.0,2,0,315151,cheap,,S
71,0,Second,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,cheap,,S
72,0,Third,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,cheap,,S
73,0,Second,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,cheap,,S
74,0,Third,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,cheap,,C
75,1,Third,"Bing, Mr. Lee",male,32.0,0,0,1601,cheap,,S
76,0,Third,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,cheap,F G73,S
77,0,Third,"Staneff, Mr. Ivan",male,,0,0,349208,cheap,,S
78,0,Third,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,cheap,,S
79,1,Second,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,cheap,,S
80,1,Third,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,cheap,,S
81,0,Third,"Waelens, Mr. Achille",male,22.0,0,0,345767,cheap,,S
82,1,Third,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,cheap,,S
83,1,Third,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,cheap,,Q
84,0,First,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,cheap,,S
85,1,Second,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,cheap,,S
86,1,Third,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,cheap,,S
87,0,Third,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,cheap,,S
88,0,Third,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,cheap,,S
89,1,First,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,expensive,C23 C25 C27,S
90,0,Third,"Celotti, Mr. Francesco",male,24.0,0,0,343275,cheap,,S
91,0,Third,"Christmann, Mr. Emil",male,29.0,0,0,343276,cheap,,S
92,0,Third,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,cheap,,S
93,0,First,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,cheap,E31,S
94,0,Third,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,cheap,,S
95,0,Third,"Coxon, Mr. Daniel",male,59.0,0,0,364500,cheap,,S
96,0,Third,"Shorney, Mr. Charles Joseph",male,,0,0,374910,cheap,,S
97,0,First,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,cheap,A5,C
98,1,First,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,cheap,D10 D12,C
99,1,Second,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,cheap,,S
100,0,Second,"Kantor, Mr. Sinai",male,34.0,1,0,244367,cheap,,S
101,0,Third,"Petranec, Miss. Matilda",female,28.0,0,0,349245,cheap,,S
102,0,Third,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,cheap,,S
103,0,First,"White, Mr. Richard Frasar",male,21.0,0,1,35281,cheap,D26,S
104,0,Third,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,cheap,,S
105,0,Third,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,cheap,,S
106,0,Third,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,cheap,,S
107,1,Third,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,cheap,,S
108,1,Third,"Moss, Mr. Albert Johan",male,,0,0,312991,cheap,,S
109,0,Third,"Rekic, Mr. Tido",male,38.0,0,0,349249,cheap,,S
110,1,Third,"Moran, Miss. Bertha",female,,1,0,371110,cheap,,Q
111,0,First,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,cheap,C110,S
112,0,Third,"Zabour, Miss. Hileni",female,14.5,1,0,2665,cheap,,C
113,0,Third,"Barton, Mr. David John",male,22.0,0,0,324669,cheap,,S
114,0,Third,"Jussila, Miss. Katriina",female,20.0,1,0,4136,cheap,,S
115,0,Third,"Attalah, Miss. Malake",female,17.0,0,0,2627,cheap,,C
116,0,Third,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,cheap,,S
117,0,Third,"Connors, Mr. Patrick",male,70.5,0,0,370369,cheap,,Q
118,0,Second,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,cheap,,S
119,0,First,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,expensive,B58 B60,C
120,0,Third,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,cheap,,S
121,0,Second,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,cheap,,S
122,0,Third,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,cheap,,S
123,0,Second,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,cheap,,C
124,1,Second,"Webber, Miss. Susan",female,32.5,0,0,27267,cheap,E101,S
125,0,First,"White, Mr. Percival Wayland",male,54.0,0,1,35281,cheap,D26,S
126,1,Third,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,cheap,,C
127,0,Third,"McMahon, Mr. Martin",male,,0,0,370372,cheap,,Q
128,1,Third,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,cheap,,S
129,1,Third,"Peter, Miss. Anna",female,,1,1,2668,cheap,F E69,C
130,0,Third,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,cheap,,S
131,0,Third,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,cheap,,C
132,0,Third,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,cheap,,S
133,0,Third,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,cheap,,S
134,1,Second,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,cheap,,S
135,0,Second,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,cheap,,S
136,0,Second,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,cheap,,C
137,1,First,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,cheap,D47,S
138,0,First,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,cheap,C123,S
139,0,Third,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,cheap,,S
140,0,First,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,cheap,B86,C
141,0,Third,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,cheap,,C
142,1,Third,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,cheap,,S
143,1,Third,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,cheap,,S
144,0,Third,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,cheap,,Q
145,0,Second,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,cheap,,S
146,0,Second,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,cheap,,S
147,1,Third,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,cheap,,S
148,0,Third,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,cheap,,S
149,0,Second,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,cheap,F2,S
150,0,Second,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,cheap,,S
151,0,Second,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,cheap,,S
152,1,First,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,cheap,C2,S
153,0,Third,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,cheap,,S
154,0,Third,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,cheap,,S
155,0,Third,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,cheap,,S
156,0,First,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,cheap,,C
157,1,Third,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,cheap,,Q
158,0,Third,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,cheap,,S
159,0,Third,"Smiljanic, Mr. Mile",male,,0,0,315037,cheap,,S
160,0,Third,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,cheap,,S
161,0,Third,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,cheap,,S
162,1,Second,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,cheap,,S
163,0,Third,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,cheap,,S
164,0,Third,"Calic, Mr. Jovo",male,17.0,0,0,315093,cheap,,S
165,0,Third,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,cheap,,S
166,1,Third,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,cheap,,S
167,1,First,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,cheap,E33,S
168,0,Third,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,cheap,,S
169,0,First,"Baumann, Mr. John D",male,,0,0,PC 17318,cheap,,S
170,0,Third,"Ling, Mr. Lee",male,28.0,0,0,1601,cheap,,S
171,0,First,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,cheap,B19,S
172,0,Third,"Rice, Master. Arthur",male,4.0,4,1,382652,cheap,,Q
173,1,Third,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,cheap,,S
174,0,Third,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,cheap,,S
175,0,First,"Smith, Mr. James Clinch",male,56.0,0,0,17764,cheap,A7,C
176,0,Third,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,cheap,,S
177,0,Third,"Lefebre, Master. Henry Forbes",male,,3,1,4133,cheap,,S
178,0,First,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,cheap,C49,C
179,0,Second,"Hale, Mr. Reginald",male,30.0,0,0,250653,cheap,,S
180,0,Third,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,cheap,,S
181,0,Third,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,cheap,,S
182,0,Second,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,cheap,,C
183,0,Third,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,cheap,,S
184,1,Second,"Becker, Master. Richard F",male,1.0,2,1,230136,cheap,F4,S
185,1,Third,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,cheap,,S
186,0,First,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,cheap,A32,S
187,1,Third,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,cheap,,Q
188,1,First,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,cheap,,S
189,0,Third,"Bourke, Mr. John",male,40.0,1,1,364849,cheap,,Q
190,0,Third,"Turcin, Mr. Stjepan",male,36.0,0,0,349247,cheap,,S
191,1,Second,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,cheap,,S
192,0,Second,"Carbines, Mr. William",male,19.0,0,0,28424,cheap,,S
193,1,Third,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,cheap,,S
194,1,Second,"Navratil, Master. Michel M",male,3.0,1,1,230080,cheap,F2,S
195,1,First,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,cheap,B4,C
196,1,First,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,expensive,B80,C
197,0,Third,"Mernagh, Mr. Robert",male,,0,0,368703,cheap,,Q
198,0,Third,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,cheap,,S
199,1,Third,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,cheap,,Q
200,0,Second,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0,0,248747,cheap,,S
201,0,Third,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770,cheap,,S
202,0,Third,"Sage, Mr. Frederick",male,,8,2,CA. 2343,cheap,,S
203,0,Third,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,cheap,,S
204,0,Third,"Youseff, Mr. Gerious",male,45.5,0,0,2628,cheap,,C
205,1,Third,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,cheap,,S
206,0,Third,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,cheap,G6,S
207,0,Third,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278,cheap,,S
208,1,Third,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,cheap,,C
209,1,Third,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231,cheap,,Q
210,1,First,"Blank, Mr. Henry",male,40.0,0,0,112277,cheap,A31,C
211,0,Third,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311,cheap,,S
212,1,Second,"Cameron, Miss. Clear Annie",female,35.0,0,0,F.C.C. 13528,cheap,,S
213,0,Third,"Perkin, Mr. John Henry",male,22.0,0,0,A/5 21174,cheap,,S
214,0,Second,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,cheap,,S
215,0,Third,"Kiernan, Mr. Philip",male,,1,0,367229,cheap,,Q
216,1,First,"Newell, Miss. Madeleine",female,31.0,1,0,35273,cheap,D36,C
217,1,Third,"Honkanen, Miss. Eliina",female,27.0,0,0,STON/O2. 3101283,cheap,,S
218,0,Second,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,243847,cheap,,S
219,1,First,"Bazzani, Miss. Albina",female,32.0,0,0,11813,cheap,D15,C
220,0,Second,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,cheap,,S
221,1,Third,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,cheap,,S
222,0,Second,"Bracken, Mr. James H",male,27.0,0,0,220367,cheap,,S
223,0,Third,"Green, Mr. George Henry",male,51.0,0,0,21440,cheap,,S
